tour,year,date,tournament,round,surface,player1,player2,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence
ATP,2023,2023-01-16,Australian Open,R128,Hard,Quentin Halys,Stefanos Tsitsipas,26,37.986000000000004,44.471000000000004,12,6.776,4.829,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Richard Gasquet,Ugo Humbert,14,22.753,23.287,4,8.513,9.165,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Rinky Hijikata,Stefanos Tsitsipas,9,25.606,21.24,1,7.82,8.064,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Rinky Hijikata,Yannick Hanfmann,36,20.472,14.288,8,9.161,10.681000000000001,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Roberto Bautista Agut,Tommy Paul,13,23.259,21.681,4,6.5120000000000005,3.2800000000000002,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Sebastian Korda,Yosuke Watanuki,16,28.517,30.755000000000003,7,7.622999999999999,6.1850000000000005,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Stefanos Tsitsipas,Tallon Griekspoor,13,32.783,38.522,7,7.9879999999999995,7.6080000000000005,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R128,Hard,Aliaksandra Sasnovich,Brenda Fruhvirtova,8,4.852,3.102,3,7.133,8.052,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R64,Hard,Aliaksandra Sasnovich,Jessica Pegula,5,4.772,4.896,9,6.474,6.7490000000000006,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Alison Riske Amritraj,Marketa Vondrousova,4,5.192,4.929,11,7.227,7.962,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Alison Van Uytvanck,Petra Kvitova,8,7.563000000000001,7.958,7,6.952,7.243,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Alize Cornet,Leylah Fernandez,3,4.779,4.612,8,7.978,8.574,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Amanda Anisimova,Marta Kostyuk,8,6.3740000000000006,6.481999999999999,6,7.741,8.496,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Ana Bogdan,Anna Bondar,12,6.601,6.404,4,6.184,5.513,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anastasia Pavlyuchenkova,Camila Giorgi,5,4.949,4.611,9,9.052,10.778,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R64,Hard,Anastasia Potapova,Nuria Parrizas Diaz,4,2.3200000000000003,1.728,5,6.369,6.504,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anastasia Potapova,Sloane Stephens,1,2.982,2.474,8,7.063000000000001,7.454,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anett Kontaveit,Julia Grabher,3,5.470000000000001,5.559,5,7.111000000000001,9.271,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R64,Hard,Anett Kontaveit,Magda Linette,9,5.525,5.481,6,5.316,5.287,MED,HIGH
WTA,2023,2023-01-16,Australian Open,R32,Hard,Anhelina Kalinina,Barbora Krejcikova,3,5.603,5.418,5,8.907,10.027999999999999,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anhelina Kalinina,Coco Vandeweghe,11,6.093999999999999,7.92,8,8.328,10.09,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R64,Hard,Anhelina Kalinina,Petra Kvitova,9,6.603,6.5360000000000005,5,8.982,10.008,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anna Blinkova,Madison Keys,5,7.6370000000000005,8.141,11,6.9510000000000005,7.286999999999999,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Anna Bondar,Jelena Ostapenko,11,6.3309999999999995,6.2490000000000006,10,6.92,7.1899999999999995,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anna Kalinskaya,Danielle Collins,10,5.868,5.684,9,9.477,10.552,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Anna Karolina Schmiedlova,Camila Giorgi,4,4.819,4.638,11,9.237,10.562,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Anna Karolina Schmiedlova,Martina Trevisan,3,3.287,2.772,5,7.696,8.156,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Arianne Hartono,Shelby Rogers,7,6.494,5.476,10,6.906000000000001,8.283999999999999,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R16,Hard,Aryna Sabalenka,Belinda Bencic,8,8.518,8.664,12,10.986,12.048,MED,HIGH
WTA,2023,2023-01-16,Australian Open,QF,Hard,Aryna Sabalenka,Donna Vekic,13,7.918,8.2,22,11.512,12.852,MED,MED
WTA,2023,2023-01-16,Australian Open,F,Hard,Aryna Sabalenka,Elena Rybakina,26,10.823,11.08,8,9.339,9.984,MED,HIGH
WTA,2023,2023-01-16,Australian Open,R32,Hard,Aryna Sabalenka,Elise Mertens,8,7.379,7.843,8,12.369,13.772,MED,HIGH
WTA,2023,2023-01-16,Australian Open,SF,Hard,Aryna Sabalenka,Magda Linette,7,6.917,7.007,3,9.178,9.784,MED,HIGH
WTA,2023,2023-01-16,Australian Open,R64,Hard,Aryna Sabalenka,Shelby Rogers,10,8.616,8.780999999999999,4,9.577,10.249,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Aryna Sabalenka,Tereza Martincova,5,6.123,5.966,6,9.871,10.652000000000001,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Barbora Krejcikova,Clara Burel,3,5.914,5.837,9,10.006,12.091,MED,MED
WTA,2023,2023-01-16,Australian Open,R16,Hard,Barbora Krejcikova,Jessica Pegula,3,5.981,6.2379999999999995,3,7.438000000000001,8.049,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Barbora Krejcikova,Sara Bejlek,2,6.199,3.731,8,8.064,8.77,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R128,Hard,Beatriz Haddad Maia,Nuria Parrizas Diaz,5,3.3840000000000003,3.2199999999999998,5,5.489,5.269,MED,MED
WTA,2023,2023-01-16,Australian Open,R32,Hard,Belinda Bencic,Camila Giorgi,4,6.728,6.965999999999999,9,9.61,11.164,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Belinda Bencic,Claire Liu,6,7.2090000000000005,7.378,7,6.406000000000001,6.4879999999999995,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Belinda Bencic,Viktoriya Tomova,5,5.996,5.298,5,7.418,7.756,MED,MED
WTA,2023,2023-01-16,Australian Open,R32,Hard,Bernarda Pera,Coco Gauff,8,7.055,7.454,6,8.913,9.764,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Bernarda Pera,Moyuka Uchijima,12,4.452,3.718,11,7.2989999999999995,7.623,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R64,Hard,Bernarda Pera,Qinwen Zheng,11,8.929,9.427,7,8.357,9.091999999999999,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Bianca Andreescu,Cristina Bucsa,4,2.929,1.558,8,6.002,5.542,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Bianca Andreescu,Marie Bouzkova,2,3.664,3.279,2,5.478,5.353,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Camila Osorio,Iga Swiatek,0,3.6719999999999997,3.617,2,5.8309999999999995,5.968999999999999,MED,MED
WTA,2023,2023-01-16,Australian Open,R128,Hard,Camila Osorio,Panna Udvardy,4,4.449,4.3260000000000005,8,7.085,7.609,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R128,Hard,Caroline Garcia,Katherine Sebov,5,7.952,6.476,4,6.728999999999999,7.67,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R32,Hard,Caroline Garcia,Laura Siegemund,8,7.727,7.126,4,6.295,6.3629999999999995,MED,MED
WTA,2023,2023-01-16,Australian Open,R64,Hard,Caroline Garcia,Leylah Fernandez,11,9.541,9.267,9,6.692,7.0,MED,MED
WTA,2023,2023-01-16,Australian Open,R16,Hard,Caroline Garcia,Magda Linette,6,8.961,9.172,4,5.074,4.954,MED,HIGH
WTA,2023,2023-01-16,Australian Open,R64,Hard,Caty Mcnally,Kateryna Baindl,2,5.018000000000001,4.905,5,6.943,7.2059999999999995,LOW,LOW
WTA,2023,2023-01-16,Australian Open,R128,Hard,Caty Mcnally,Laura Pigossi,0,3.5180000000000002,2.556,8,6.436999999999999,6.18,LOW,LOW
