tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Roman Safiullin,Tallon Griekspoor,16,11.639,10.631,3,5.191,5.756,MED,MED,118.998,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Ugo Humbert,David Goffin,9,10.080,10.067,1,3.105,3.078,MED,HIGH,115.012,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,David Goffin,Ugo Humbert,9,10.381,11.515,3,2.843,1.570,MED,MED,115.151,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Zhizhen Zhang,Federico Coria,13,9.305,9.065,2,3.054,2.946,MED,MED,115.347,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Federico Coria,Zhizhen Zhang,14,6.210,3.125,7,3.782,4.018,MED,MED,122.765,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jakub Mensik,Denis Shapovalov,12,10.834,11.281,4,3.444,3.318,LOW,LOW,110.821,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Denis Shapovalov,Jakub Mensik,12,12.594,12.117,7,9.050,11.757,MED,MED,115.772,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Hubert Hurkacz,Omar Jasika,24,19.116,19.694,1,2.314,2.179,MED,HIGH,114.949,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Omar Jasika,Hubert Hurkacz,3,10.699,10.184,0,3.888,4.061,LOW,LOW,118.045,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Grigor Dimitrov,Marton Fucsovics,8,11.631,11.308,8,4.241,4.467,MED,HIGH,113.638,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Marton Fucsovics,Grigor Dimitrov,5,6.126,5.698,6,3.917,4.101,MED,MED,117.428,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Thanasi Kokkinakis,Sebastian Ofner,26,17.443,15.846,3,3.469,3.615,MED,MED,120.201,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Sebastian Ofner,Thanasi Kokkinakis,15,13.588,12.448,3,3.178,3.112,MED,MED,117.690,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Nuno Borges,Maximilian Marterer,18,8.033,6.838,0,3.662,3.738,MED,MED,118.699,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Maximilian Marterer,Nuno Borges,11,13.430,11.989,4,3.187,2.767,MED,MED,116.816,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alejandro Davidovich Fokina,Constant Lestienne,11,6.081,5.644,2,2.985,2.913,MED,HIGH,119.764,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Constant Lestienne,Alejandro Davidovich Fokina,7,8.284,7.953,4,4.361,4.772,MED,MED,125.233,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Felix Auger Aliassime,Dominic Thiem,16,14.901,13.614,10,5.831,6.520,MED,HIGH,116.333,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dominic Thiem,Felix Auger Aliassime,15,9.034,8.421,8,4.031,4.257,MED,MED,118.637,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Hugo Grenier,Alexandre Muller,31,9.845,10.184,10,3.888,4.061,LOW,LOW,118.045,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexandre Muller,Hugo Grenier,12,7.120,6.565,5,2.806,2.399,MED,MED,120.687,0,NO_OPP_DATA;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Emil Ruusuvuori,Patrick Kypson,19,7.907,7.902,5,3.324,3.347,MED,HIGH,120.294,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Patrick Kypson,Emil Ruusuvuori,17,10.458,10.184,1,3.888,4.061,LOW,LOW,118.045,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Daniil Medvedev,Terence Atmane,9,11.661,11.358,4,5.894,6.471,MED,HIGH,118.637,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Terence Atmane,Daniil Medvedev,12,10.423,12.052,7,4.207,5.165,LOW,LOW,111.478,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexander Zverev,Dominik Koepfer,19,12.396,12.387,2,3.163,3.076,MED,HIGH,115.085,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dominik Koepfer,Alexander Zverev,8,9.060,8.313,1,4.432,4.906,MED,MED,117.750,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Lukas Klein,Soon Woo Kwon,16,9.629,7.917,6,4.066,4.475,LOW,LOW,117.382,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Soon Woo Kwon,Lukas Klein,6,9.878,9.383,10,3.851,3.970,MED,MED,114.043,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alex Michelsen,James Mccabe,8,7.991,7.142,4,3.424,3.306,MED,MED,121.935,0,NO_OPP_DATA;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,James Mccabe,Alex Michelsen,13,9.149,2.097,3,3.620,2.097,LOW,LOW,117.452,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jiri Lehecka,Bernabe Zapata Miralles,6,9.959,9.422,2,3.390,3.502,MED,HIGH,117.469,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Bernabe Zapata Miralles,Jiri Lehecka,3,4.131,2.144,3,3.872,3.829,MED,MED,121.159,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Cameron Norrie,Juan Pablo Varillas,6,8.648,7.635,3,3.229,3.353,MED,MED,117.109,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
