tour_id,player1_id,player2_id,round_id,draw,result
21546,86599,94532,4,1,6-1 6-4
21546,87431,53537,4,2,6-2 6-2
21546,89109,111613,4,3,6-1 6-2
21546,82282,71182,4,4,6-4 6-0
21546,56817,71444,4,5,6-1 7-6(6)
21546,84239,117881,4,6,6-2 7-5
21546,96775,103822,4,7,1-6 6-2 6-3
21546,70909,106998,4,8,6-2 6-2
21546,99973,45252,4,9,6-7(14) 7-5 2-0 ret.
21546,62180,115746,4,10,6-0 6-4
21546,91530,94315,4,11,6-3 6-3
21546,76148,40820,4,12,7-5 4-6 6-3
21546,44250,108599,4,13,6-1 6-2
21546,85367,87305,4,14,3-6 7-5 6-4
21546,50385,118156,4,15,6-4 6-2
21546,70477,95482,4,16,6-3 6-0
21546,86599,87431,5,1,6-4 2-6 6-3
21546,82282,89109,5,2,6-7(4) 6-4 7-6(4)
21546,84239,56817,5,3,6-3 6-4
21546,96775,70909,5,4,6-0 6-4
21546,99973,62180,5,5,6-3 6-1
21546,91530,76148,5,6,6-3 1-6 6-3
21546,85367,44250,5,7,7-6(4) 6-0
21546,70477,50385,5,8,6-1 6-4
21546,86599,82282,9,1,6-2 6-2
21546,84239,96775,9,2,6-4 6-2
21546,99973,91530,9,3,
21546,85367,70477,9,4,
21546,86599,84239,10,1,
21546,3700,3700,10,2,
21546,3700,3700,12,1,
21548,80500,96544,4,1,7-5 6-3
21548,66499,103109,4,2,3-6 7-5 6-3
21548,72609,88064,4,3,6-1 6-2
21548,97382,63231,4,4,6-2 6-1
21548,86924,74146,4,5,4-1 ret.
21548,59850,98710,4,6,6-4 3-6 6-1
21542,92247,63498,4,1,6-4 4-6 6-2
21542,21332,126456,4,2,6-4 6-0
21542,84712,104074,4,3,6-3 6-7(5) 7-6(3)
21317,58149,24245,6,3,6-7(3) 7-6(3) 6-3
21317,27851,39309,6,4,6-4 6-4
21317,5992,39152,6,5,6-4 1-6 6-4
21317,63017,52279,6,6,6-1 7-5
21317,22807,52721,6,7,6-4 6-0
21317,92985,29932,6,8,6-4 7-6(6)
21317,83135,13674,6,9,6-3 7-5
21317,40434,68627,6,10,6-7(5) 6-3 6-3
21317,29939,67546,6,11,6-1 6-2
21317,24008,56846,6,12,7-6(2) 5-7 6-4
21317,93452,87562,6,13,7-6(3) 4-6 6-3
21317,36519,86691,6,14,6-2 4-6 6-2
21317,91521,29935,6,15,6-2 6-3
21317,47275,33502,6,16,6-3 6-2
21317,68074,33648,7,1,6-1 7-6(2)
21317,27851,58149,7,2,6-4 6-2
21317,63017,5992,7,3,4-6 6-4 7-6(5)
21317,22807,92985,7,4,6-2 6-4
21317,83135,40434,7,5,6-3 7-6(9)
21317,24008,29939,7,6,6-3 6-4
21317,93452,36519,7,7,4-6 6-1 7-6(4)
21317,47275,91521,7,8,7-6(6) 7-6(4)
21317,68074,27851,9,1,6-3 6-4
21317,22807,63017,9,2,6-1 7-5
21317,24008,83135,9,3,6-2 6-3
21317,47275,93452,9,4,6-1 6-2
21317,68074,22807,10,1,
21317,24008,47275,10,2,
21317,3700,3700,12,1,
21548,82975,70248,4,7,7-5 6-0
