tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
adelaide international 2,Adelaide International 2,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,31,15,16,3.48,11.2258,3.3096,48.3871,31
australian open,Australian Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_17_32,31,8,23,-8.96,-28.9032,-18.6254,25.8065,31
croatia open,Croatia Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,31,20,11,3.83,12.3548,5.0154,64.5161,31
estoril open,Estoril Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,31,14,17,2.29,7.3871,1.4026,45.1613,31
nordea open,Nordea Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,31,18,13,-2.06,-6.6452,-4.6404,58.0645,31
argentina open,Argentina Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,30,8,22,-8.03,-26.7667,-15.774,26.6667,30
bmw open,BMW Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,30,18,12,-4.01,-13.3667,-7.9677,60.0,30
chile open,Chile Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,30,15,15,-5.76,-19.2,-10.8844,50.0,30
european open,European Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_1_2,30,20,10,-5.2,-17.3333,-10.5792,66.6667,30
mutua madrid open,Mutua Madrid Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,30,15,15,16.89,56.3,27.7714,50.0,30
queen s club championships,Queen's Club Championships,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,30,20,10,5.25,17.5,7.4656,66.6667,30
rosmalen grass court championships,Rosmalen Grass Court Championships,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,30,20,10,6.09,20.3,8.8656,66.6667,30
sofia open,Sofia Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,30,14,16,1.81,6.0333,0.626,46.6667,30
stuttgart open,Stuttgart Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,30,10,20,-6.66,-22.2,-13.5353,33.3333,30
suisse open gstaad,Suisse Open Gstaad,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,30,17,13,0.07,0.2333,-1.1677,56.6667,30
us open,US Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,30,10,20,6.62,22.0667,10.6548,33.3333,30
australian open,Australian Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_3_4,29,27,2,2.97,10.2414,2.6299,93.1034,29
cordoba open,Cordoba Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,29,11,18,-8.29,-28.5862,-15.357,37.931,29
generali open,Generali Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,29,14,15,4.03,13.8966,4.3993,48.2759,29
mutua madrid open,Mutua Madrid Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_17_32,29,16,13,-0.02,-0.069,-3.4937,55.1724,29
