date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,overlay_tournament_key,overlay_resolved_year,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier
2026-03-06,23:58:57,Francisco Cerundolo,Benjamin Bonzi,Hard,Masters 1000,high,1.54,2.85,1.348,3.42,-12.47,20.0,P2,20.0,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Daniil Medvedev,Alejandro Tabilo,Hard,Masters 1000,high,1.46,3.18,1.256,4.21,-13.97,32.39,P2,32.39,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Valentin Vacherot,Nuno Borges,Hard,Masters 1000,high,1.51,2.96,1.73,2.19,14.57,-26.01,P1,14.57,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-06,23:58:57,Tomas Martin Etcheverry,Denis Shapovalov,Hard,Masters 1000,high,1.8,2.26,2.72,1.51,51.11,-33.19,P1,51.11,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-07,12:43:02,Carlos Alcaraz,Grigor Dimitrov,Hard,Masters 1000,high,1.08,13.5,1.04,17.25,-3.7,27.78,P2,27.78,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Alexander Bublik,Vit Kopriva,Hard,Masters 1000,high,1.37,3.72,1.271,4.12,-7.23,10.75,P2,10.75,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Francisco Cerundolo,Benjamin Bonzi,Hard,Masters 1000,high,1.5,2.99,1.365,3.37,-9.0,12.71,P2,12.71,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Roberto Bautista Agut,Jack Draper,Hard,Masters 1000,high,5.45,1.22,6.54,1.143,20.0,-6.31,P1,20.0,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Daniil Medvedev,Alejandro Tabilo,Hard,Masters 1000,high,1.38,3.62,1.283,4.0,-7.03,10.5,P2,10.5,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.4,2.27,1.694,32.75,-29.42,P1,32.75,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.74,1.58,3.11,1.412,13.5,-10.63,P1,13.5,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.25,1.44,3.74,1.313,15.08,-8.82,P1,15.08,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.71,1.758,2.17,11.27,-19.93,P1,11.27,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-07,12:43:02,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.4,2.27,1.694,32.75,-29.42,P1,32.75,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-07,12:43:02,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.71,1.758,2.17,11.27,-19.93,P1,11.27,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-07,23:58:27,Rinky Hijikata,Luciano Darderi,Hard,Masters 1000,high,2.58,1.63,3.13,1.408,21.32,-13.62,P1,21.32,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-07,23:58:27,Cameron Norrie,Mackenzie Mcdonald,Hard,Masters 1000,high,1.52,2.9,1.629,2.41,7.17,-16.9,P1,7.17,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,internal
2026-03-07,23:58:27,Ugo Humbert,Alex Michelsen,Hard,Masters 1000,high,1.76,2.32,2.03,1.862,15.34,-19.74,P1,15.34,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-07,23:58:27,Jacob Fearnley,Taylor Harry Fritz,Hard,Masters 1000,high,3.78,1.36,4.81,1.218,27.25,-10.44,P1,27.25,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-07,23:58:27,Cameron Norrie,Mackenzie Mcdonald,Hard,Masters 1000,high,1.52,2.9,1.629,2.41,7.17,-16.9,P1,7.17,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-07,23:58:27,Ugo Humbert,Alex Michelsen,Hard,Masters 1000,high,1.76,2.32,2.03,1.862,15.34,-19.74,P1,15.34,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-08,11:46:19,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,2.27,1.79,2.43,1.617,7.05,-9.66,P1,7.05,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,internal
2026-03-08,11:46:19,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.14,1.47,3.68,1.329,17.2,-9.59,P1,17.2,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-08,11:46:19,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.82,1.55,3.16,1.413,12.06,-8.84,P1,12.06,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-08,11:46:19,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.73,1.699,2.3,7.53,-15.75,P1,7.53,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,internal
2026-03-08,11:46:19,Joao Fonseca,Tommy Paul,Hard,Masters 1000,high,2.56,1.64,2.85,1.474,11.33,-10.12,P1,11.33,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,public
2026-03-08,11:46:19,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.73,1.699,2.3,7.53,-15.75,P1,7.53,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
