tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,segment_family,segment_type,n_matches,wins,losses,win_rate_pct_raw,win_rate_pct_shrunk,r1_matches,r1_wins,r1_win_rate_pct_raw,max_round,max_round_order,n
davis cup wg2 r1 ltu vs egy,Davis Cup WG2 R1: LTU vs EGY,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 ltu vs egy,Davis Cup WG2 R1: LTU vs EGY,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 pol vs ina,Davis Cup WG2 R1: POL vs INA,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 pol vs ina,Davis Cup WG2 R1: POL vs INA,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 uru vs chn,Davis Cup WG2 R1: URU vs CHN,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 uru vs chn,Davis Cup WG2 R1: URU vs CHN,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
delray beach,Delray Beach,year,2022,2022,2022,,entry,entry_Q,8,4,4,50.0,42.3372,4,3,75.0,QF,7,8
delray beach,Delray Beach,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,0,0,,F,9,8
dubai,Dubai,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,2,2,100.0,F,9,8
eastbourne,Eastbourne,year,2022,2022,2022,,entry,entry_WC,8,5,3,62.5,46.2511,3,2,66.6667,SF,8,8
florence,Florence,year,2022,2022,2022,,entry,entry_Q,8,4,4,50.0,42.3372,4,2,50.0,SF,8,8
gstaad,Gstaad,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,0,0,,F,9,8
houston,Houston,year,2022,2022,2022,,seed,seed_3_4,8,7,1,87.5,71.304,0,0,,F,9,8
kitzbuhel,Kitzbuhel,year,2022,2022,2022,,entry,entry_WC,8,5,3,62.5,46.2511,3,2,66.6667,F,9,8
