date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile,game_margin
2026-03-06,23:58:57,Valentin Vacherot,Nuno Borges,Hard,Masters 1000,high,1.51,2.96,1.73,2.19,14.57,-26.01,P1,14.57,base,,,,settled,P1,WIN,1,2026-03-08,36594,31446,36594,31446,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-06,23:58:57,Alexander Bublik,Vit Kopriva,Hard,Masters 1000,high,1.42,3.37,1.278,3.98,-10.0,18.1,P2,18.1,base,,,,settled,P1,LOSS,0,2026-03-08,24245,42971,24245,42971,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-06,23:58:57,Novak Djokovic,Kamil Majchrzak,Hard,Masters 1000,high,1.33,4.06,1.097,8.41,-17.52,107.14,P2,107.14,base,,,,settled,P1,LOSS,0,2026-03-08,5992,28898,5992,28898,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-06,23:58:57,Francisco Cerundolo,Benjamin Bonzi,Hard,Masters 1000,high,1.54,2.85,1.348,3.42,-12.47,20.0,P2,20.0,base,,,,settled,P1,LOSS,0,2026-03-08,52279,28899,52279,28899,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-06,23:58:57,Daniil Medvedev,Alejandro Tabilo,Hard,Masters 1000,high,1.46,3.18,1.256,4.21,-13.97,32.39,P2,32.39,base,,,,settled,P1,LOSS,0,2026-03-08,22807,30087,22807,30087,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Carlos Alcaraz,Grigor Dimitrov,Hard,Masters 1000,high,1.08,13.5,1.04,17.25,-3.7,27.78,P2,27.78,base,,,,settled,P1,LOSS,0,2026-03-08,68074,11953,68074,11953,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Alexander Bublik,Vit Kopriva,Hard,Masters 1000,high,1.37,3.72,1.271,4.12,-7.23,10.75,P2,10.75,base,,,,settled,P1,LOSS,0,2026-03-08,24245,42971,24245,42971,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Francisco Cerundolo,Benjamin Bonzi,Hard,Masters 1000,high,1.5,2.99,1.365,3.37,-9.0,12.71,P2,12.71,base,,,,settled,P1,LOSS,0,2026-03-08,52279,28899,52279,28899,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Roberto Bautista Agut,Jack Draper,Hard,Masters 1000,high,5.45,1.22,6.54,1.143,20.0,-6.31,P1,20.0,base,,,,settled,P2,LOSS,0,2026-03-08,1837,63017,63017,1837,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Daniil Medvedev,Alejandro Tabilo,Hard,Masters 1000,high,1.38,3.62,1.283,4.0,-7.03,10.5,P2,10.5,base,,,,settled,P1,LOSS,0,2026-03-08,22807,30087,22807,30087,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.4,2.27,1.694,32.75,-29.42,P1,32.75,base,,,,settled,P2,LOSS,0,2026-03-08,25543,91521,91521,25543,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
