date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,1.0,1.0300,
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,15.0,,11.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,1.0,1.0200,
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,2.0,1.1100,
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,3.0,1.3300,
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,5.0,2.2500,1.0300
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,8.0,8.0000,1.2500
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,10.0,19.0000,1.6100
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,12.0,26.0000,2.2500
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,15.0,,4.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,20.0,,19.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,double_faults,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,3.0,1.1100,1.0200
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,5.0,1.4400,1.1200
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,10.0,5.0000,2.1000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,15.0,21.0000,5.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,20.0,26.0000,19.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Kimberly Birrell,aces,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,8.0,3.5000,1.2200
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,10.0,6.5000,1.5700
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,2.0,1.0500,
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,3.0,1.1400,
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,12.0,13.0000,2.1000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,20.0,,15.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,5.0,1.5700,1.0300
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,double_faults,15.0,26.0000,4.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,3.0,1.0500,1.0100
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,10.0,3.0000,1.7200
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,15.0,11.0000,3.7500
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,20.0,26.0000,11.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Sofia Kenin,aces,5.0,1.2500,1.0800
2026-07-02,WTA,Wimbledon,Totals ( ),Maria Timofeeva,double_faults,2.0,1.0200,
2026-07-02,WTA,Wimbledon,Totals ( ),Maria Timofeeva,double_faults,3.0,1.0700,
2026-07-02,WTA,Wimbledon,Totals ( ),Maria Timofeeva,double_faults,5.0,1.2800,1.0100
2026-07-02,WTA,Wimbledon,Totals ( ),Maria Timofeeva,double_faults,8.0,2.1000,1.1400
