match_date,league,home_team,away_team,line,actual_total,result_side,kickoff_utc,published_at_utc,close_at_utc,close_is_stale,lambda_poisson,nb_r,market_lambda,lambda_v2,blend_weight,p_market_over,p_poisson_over,p_nb_raw_over,p_v2_over,pub_over_odds,pub_under_odds,close_over_odds,close_under_odds,ev_over,ev_under,selected_side,selected_odds,selected_close_odds,selected_ev,published_to_close_clv,pnl_units,bet_result,brier_market,brier_poisson,brier_nb_raw,brier_v2
2026-04-11,bundesliga,Dortmund,Leverkusen,10.0,10,push,2026-04-11T13:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.136,59.1218,10.4697,10.0696,0.3,0.47069,0.310255,0.317244,0.42475,2.01,1.7874,2.02,1.7752,-0.030594,-0.062867,,,,,,,,,,,
2026-04-11,bundesliga,Dortmund,Leverkusen,10.5,10,under,2026-04-11T13:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.136,59.1218,10.0173,9.7529,0.3,0.41871,0.310255,0.317244,0.388098,2.24,1.6135,2.25,1.6061,-0.13066,-0.012696,,,,,,,,0.17531828,0.09625809,0.10064361,0.15062009
2026-04-11,bundesliga,Dortmund,Leverkusen,8.5,10,over,2026-04-11T13:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.136,59.1218,9.8879,9.6624,0.3,0.637809,0.562126,0.551653,0.613007,1.4651,2.58,1.4673,2.57,-0.101884,-0.001557,,,,,,,,0.13118253,0.19173355,0.20101537,0.14976390
2026-04-11,bundesliga,Dortmund,Leverkusen,9.0,10,over,2026-04-11T13:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.136,59.1218,10.5506,10.1262,0.3,0.594141,0.430504,0.42904,0.546898,1.5848,2.32,1.5882,2.31,-0.017224,-0.101992,,,,,,,,0.16472190,0.32432520,0.32599563,0.20530108
2026-04-11,bundesliga,Dortmund,Leverkusen,9.5,10,over,2026-04-11T13:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.136,59.1218,9.9765,9.7244,0.3,0.529669,0.430504,0.42904,0.50009,1.7937,2.02,1.8065,2.02,-0.102988,0.009817,,,,,,,,0.22121092,0.32432520,0.32599563,0.24990962
2026-04-11,epl,Brentford,Everton,10.0,5,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.079,74.7748,10.4765,10.0573,0.3,0.472441,0.30342,0.309419,0.42352,2.01,1.8,2.05,1.7634,-0.031257,-0.05631,,,,,,,,0.22320045,0.09206341,0.09573984,0.17936938
2026-04-11,epl,Brentford,Everton,10.5,5,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.079,74.7748,10.0648,9.7691,0.3,0.424408,0.30342,0.309419,0.389651,2.22,1.6369,2.26,1.6135,-0.134976,-0.000919,,,,,,,,0.18012232,0.09206341,0.09573984,0.15182757
2026-04-11,epl,Brentford,Everton,8.5,5,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.079,74.7748,9.908,9.6593,0.3,0.643236,0.554709,0.546701,0.615569,1.4587,2.63,1.4762,2.58,-0.10207,0.011055,,,,,,,,0.41375286,0.30770261,0.29888189,0.37892459
2026-04-11,epl,Brentford,Everton,9.0,5,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.079,74.7748,10.5436,10.1042,0.3,0.596209,0.422999,0.422277,0.546457,1.5848,2.34,1.6135,2.29,-0.016226,-0.096493,,,,,,,,0.35546484,0.17892837,0.17831768,0.29861536
2026-04-11,epl,Brentford,Everton,9.5,5,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.079,74.7748,9.9278,9.6731,0.3,0.525765,0.422999,0.422277,0.495301,1.813,2.01,1.8621,1.9901,-0.102019,0.014445,,,,,,,,0.27642895,0.17892837,0.17831768,0.24532321
2026-04-11,epl,Burnley,Brighton,10.0,10,push,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.056,74.7748,10.4149,10.0072,0.3,0.465297,0.300672,0.306797,0.417642,2.04,1.7752,2.08,1.7407,-0.030526,-0.057272,,,,,,,,,,,
2026-04-11,epl,Burnley,Brighton,10.5,10,under,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.056,74.7748,10.0028,9.7187,0.3,0.41712,0.300672,0.306797,0.383736,2.26,1.6173,2.3,1.5952,-0.132758,-0.003316,,,,,,,,0.17398923,0.09040391,0.09412421,0.14725297
2026-04-11,epl,Burnley,Brighton,8.5,10,over,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.056,74.7748,9.8278,9.5962,0.3,0.634443,0.551702,0.54386,0.608368,1.4808,2.57,1.5,2.52,-0.099129,0.006495,,,,,,,,0.13363223,0.20097071,0.20806349,0.15337576
2026-04-11,epl,Burnley,Brighton,9.0,10,over,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.056,74.7748,10.4768,10.0505,0.3,0.588823,0.41997,0.419417,0.540202,1.6061,2.3,1.6369,2.25,-0.014036,-0.096314,,,,,,,,0.16906685,0.33643521,0.33707650,0.21141417
2026-04-11,epl,Burnley,Brighton,9.5,10,over,2026-04-11T14:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,9.056,74.7748,9.8938,9.6425,0.3,0.521744,0.41997,0.419417,0.491592,1.8333,2.0,1.8772,1.9709,-0.098765,0.016817,,,,,,,,0.22872912,0.33643521,0.33707650,0.25847899
2026-04-11,serie-a,Cagliari,Cremonese,10.0,11,over,2026-04-11T13:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,7.477,41.6854,9.7683,9.0809,0.3,0.390414,0.135795,0.153034,0.313565,2.41,1.5435,2.44,1.5405,-0.136047,0.000673,,,,,,,,0.37159563,0.74684942,0.71735074,0.47119311
2026-04-11,serie-a,Cagliari,Cremonese,8.0,11,over,2026-04-11T13:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,7.477,41.6854,9.9842,9.232,0.3,0.641685,0.334877,0.340226,0.558955,1.463,2.62,1.4739,2.62,-0.063206,-0.037311,,,,,,,,0.12838961,0.44238889,0.43530198,0.19452064
2026-04-11,serie-a,Cagliari,Cremonese,8.5,11,over,2026-04-11T13:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,7.477,41.6854,9.3243,8.7701,0.3,0.569609,0.334877,0.340226,0.503821,1.6623,2.2,1.6803,2.2,-0.162498,0.091593,under,2.2,2.2,0.091593,0.0,-1.0,lost,0.18523660,0.44238889,0.43530198,0.24619331
