captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Eberechi Eze,4.0000,Arsenal,0.0,4.06,11.11,2.3,4.35,3.55,57,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T18:45:00Z,Italy - Serie A,Cagliari Calcio,Inter Milano,Bet365,Jacopo Fazzini,9.0000,Fiorentina,0.0,3.2,11.11,1.47,4.0,2.51,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T19:30:00Z,Spain - LaLiga,FC Barcelona,Rayo Vallecano,Bet365,Joao Cancelo,3.5000,Barcelona,4.76,3.05,0.0,1.69,3.7,2.59,50,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:00:00Z,Spain - LaLiga,Real Madrid,Malaga CF,Bet365,Arda Guler,2.1000,Real Madrid,0.0,47.16,11.11,36.26,3.57,41.59,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:00:00Z,Spain - LaLiga,Real Madrid,Malaga CF,Bet365,Kylian Mbappe,2.6250,Real Madrid,0.0,0.44,11.11,7.69,3.57,5.9,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Maxence Caqueret,7.5000,Como,5.0,11.4,0.0,5.63,3.45,8.81,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T18:45:00Z,Italy - Serie A,Lazio Rome,Genoa CFC,Bet365,Alfonso Pedraza,6.0000,Villarreal,4.55,4.13,0.0,5.88,3.45,4.32,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Keane Lewis-Potter,7.5000,Brentford,0.0,1.12,11.11,8.82,3.45,3.1,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Igor Thiago,6.0000,Brentford,0.0,0.0,0.0,0.0,3.45,3.88,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Brenden Aaronson,6.0000,Leeds United,0.0,0.0,11.11,1.22,3.23,0.36,43,rotowire,matched,role_matched,research_only_no_public_signal
