date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-24,2026-04-24T18:45:00Z,SSC Napoli vs US Cremonese,Italy - Serie A,Federico Bonazzoli,Cremonese,SSC Napoli,penalty_transfer,-0.9499,0.6270,1,Jamie Vardy,0,expected_starter,0.216718,4.6143,Bet365,6.5000,0.408667,medium,2026-04-21T19:13:01Z,,2019,Federico Bonazzoli,SSC Napoli,US Cremonese,FW,FW,2966.0,T2,no_action,,0,0.2585,0.00,,,,,,,1,0,lost,2026-04-25T00:05:53Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:45:00Z,SSC Napoli vs US Cremonese,Italy - Serie A,Mathias Olivera,Napoli,US Cremonese,shadow_track,-0.7026,1.2140,0,,0,starter,0.105110,9.5138,Bet365,10.0000,0.051100,high,2026-04-24T18:10:20Z,,6368,Mathias Olivera,SSC Napoli,US Cremonese,DC,DC,4989.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-25T00:05:53Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:45:00Z,SSC Napoli vs US Cremonese,Italy - Serie A,Sebastiano Luperto,US Cremonese,SSC Napoli,shadow_track,-0.0844,0.7649,0,,0,expected_starter,0.061711,16.2046,Bet365,19.0000,0.172509,medium,2026-04-21T19:13:01Z,,1639,Sebastiano Luperto,SSC Napoli,US Cremonese,D,D,6650.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-25T00:05:53Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T16:00:00Z,Bologna FC vs AS Roma,Italy - Serie A,Donyell Malen,Roma,Bologna FC,penalty_transfer,0.7061,0.9566,1,Paulo Dybala,0,expected_starter,0.444328,2.2506,Bet365,2.7500,0.221902,medium,2026-04-22T21:38:45Z,,9749,Donyell Malen,Bologna FC,AS Roma,FW,FW,984.0,T2,no_action,,0,0.1449,0.00,,,,,,,1,1,won,2026-04-26T00:03:45Z,1.7500,scored_1_goals
2026-04-25,2026-04-25T16:00:00Z,Bologna FC vs AS Roma,Italy - Serie A,Evan N'Dicka,Roma,Bologna FC,shadow_track,1.8165,0.9566,0,,0,expected_starter,0.092835,10.7718,Bet365,12.0000,0.114020,medium,2026-04-22T21:38:45Z,,7049,Evan N'Dicka,Bologna FC,AS Roma,DC,DC,7897.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T16:00:00Z,Bologna FC vs AS Roma,Italy - Serie A,Remo Freuler,Bologna,AS Roma,shadow_track,-0.0834,0.7743,0,,0,starter,0.102770,9.7304,Bet365,11.0000,0.130470,high,2026-04-25T15:23:45Z,,1488,Remo Freuler,Bologna FC,AS Roma,MC,MC,7695.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T18:45:00Z,Hellas Verona vs US Lecce,Italy - Serie A,Lassana Coulibaly,Lecce,Hellas Verona,shadow_track,0.4048,0.8463,0,,0,expected_starter,0.109154,9.1614,Bet365,12.0000,0.309848,medium,2026-04-22T19:14:23Z,,3334,Lassana Coulibaly,Hellas Verona,US Lecce,Sub,Sub,6861.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T18:45:00Z,Hellas Verona vs US Lecce,Italy - Serie A,Rafik Belghali,Verona,US Lecce,shadow_track,0.5530,1.2533,0,,1,expected_starter,0.141656,7.0593,Bet365,8.5000,0.204076,medium,2026-04-22T19:14:23Z,,13962,Rafik Belghali,Hellas Verona,US Lecce,DML,DML,1351.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:00:00Z,Parma Calcio vs Pisa SC,Italy - Serie A,Antonio Caracciolo,Pisa,Parma Calcio,shadow_track,0.4857,1.1943,0,,0,expected_starter,0.142643,7.0105,Bet365,12.0000,0.711716,medium,2026-04-22T14:21:59Z,,6133,Antonio Caracciolo,Parma Calcio,Pisa SC,DC,DC,2627.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:00:00Z,Parma Calcio vs Pisa SC,Italy - Serie A,Mariano Troilo,Parma Calcio 1913,Pisa SC,shadow_track,0.2111,1.1082,0,,0,starter,0.092410,10.8213,Bet365,13.0000,0.201330,high,2026-04-25T12:22:46Z,,13979,Mariano Troilo,Parma Calcio,Pisa SC,DC,DC,1001.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:45Z,-1.0000,played_did_not_score
