league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2018-2019,04/11/2018,Parma,Frosinone,0,0,9,9,1,1,3,7,14,15,1,4,1,0,D,0,0,D,1.95,3.5,4,1.91,3.3,4.4,1.95,3.45,4.1
serie-a,2018-2019,04/11/2018,Sampdoria,Torino,1,4,10,15,4,8,0,2,13,25,2,2,0,0,A,0,2,A,2.7,3.2,2.7,2.6,3.25,2.8,2.65,3.25,2.7
serie-a,2018-2019,04/11/2018,Udinese,Milan,0,1,11,15,4,9,4,7,11,13,3,3,1,0,A,0,0,D,4.2,3.5,1.9,4.1,3.6,1.9,4.1,3.6,1.9
serie-a,2018-2019,09/11/2018,Frosinone,Fiorentina,1,1,5,16,3,10,4,5,8,12,3,0,0,0,D,0,0,D,5.25,3.6,1.7,5.25,3.7,1.7,5.1,3.5,1.75
serie-a,2018-2019,10/11/2018,Genoa,Napoli,1,2,8,13,3,7,2,7,15,6,4,2,0,0,A,1,0,H,7,4.5,1.44,6.5,4.33,1.5,6.4,4.45,1.5
serie-a,2018-2019,10/11/2018,Spal,Cagliari,2,2,8,11,4,3,1,6,13,15,2,4,0,0,D,1,0,H,2.45,3.1,3.1,2.6,3.1,2.95,2.6,3.05,2.9
serie-a,2018-2019,10/11/2018,Torino,Parma,1,2,12,11,4,7,7,7,14,17,2,4,0,0,A,1,2,A,1.44,4.2,8.5,1.45,4.33,7.5,1.5,4.25,6.6
serie-a,2018-2019,11/11/2018,Atalanta,Inter,4,1,16,6,10,2,9,6,11,13,3,5,0,1,H,1,0,H,2.75,3.3,2.6,2.75,3.4,2.55,2.7,3.4,2.6
serie-a,2018-2019,11/11/2018,Chievo,Bologna,2,2,12,12,6,6,5,6,15,18,3,3,0,0,D,2,1,H,2.9,3.2,2.6,2.85,3,2.7,2.9,3.1,2.6
serie-a,2018-2019,11/11/2018,Empoli,Udinese,2,1,9,22,5,9,4,13,6,11,2,2,0,0,H,1,0,H,2.2,3.3,3.5,2.3,3.3,3.2,2.2,3.3,3.35
serie-a,2018-2019,11/11/2018,Milan,Juventus,0,2,5,12,2,8,2,5,16,9,3,1,1,0,A,0,1,A,4.75,3.75,1.72,4.75,3.9,1.72,4.1,3.5,1.9
serie-a,2018-2019,11/11/2018,Roma,Sampdoria,4,1,10,4,6,3,7,7,8,10,1,1,0,0,H,1,0,H,1.44,4.5,7,1.45,4.6,7,1.5,4.3,6.5
serie-a,2018-2019,11/11/2018,Sassuolo,Lazio,1,1,9,7,4,3,2,6,15,21,4,3,0,0,D,1,1,D,4,3.5,1.95,3.9,3.6,1.95,3.8,3.4,2
serie-a,2018-2019,24/11/2018,Inter,Frosinone,3,0,25,5,14,4,11,0,11,11,1,3,0,0,H,1,0,H,1.25,6,12,1.26,6,11,1.27,6.1,10
serie-a,2018-2019,24/11/2018,Juventus,Spal,2,0,12,8,8,1,6,3,20,11,1,3,0,0,H,1,0,H,1.14,8,19,1.16,7.5,19,1.15,7.5,20
serie-a,2018-2019,24/11/2018,Udinese,Roma,1,0,8,23,3,9,0,12,6,10,2,0,0,0,H,0,0,D,4.5,3.6,1.83,4.4,3.6,1.83,4.3,3.6,1.85
serie-a,2018-2019,25/11/2018,Bologna,Fiorentina,0,0,8,11,4,6,4,9,11,21,3,1,0,0,D,0,0,D,4,3.3,2.04,3.7,3.3,2.1,3.75,3.35,2.05
serie-a,2018-2019,25/11/2018,Empoli,Atalanta,3,2,12,8,8,5,7,3,12,9,2,2,0,1,H,1,2,A,5.25,4,1.66,4.75,3.8,1.75,4.6,4,1.7
serie-a,2018-2019,25/11/2018,Genoa,Sampdoria,1,1,10,6,5,2,7,6,17,15,2,1,0,0,D,1,1,D,2.6,3.3,2.75,2.6,3.25,2.8,2.65,3.3,2.7
serie-a,2018-2019,25/11/2018,Lazio,Milan,1,1,16,9,6,4,9,4,10,4,1,1,0,0,D,0,0,D,1.85,3.75,4.2,1.83,3.8,4.1,1.8,3.8,4.3
serie-a,2018-2019,25/11/2018,Napoli,Chievo,0,0,17,7,10,3,20,2,11,13,2,2,0,0,D,0,0,D,1.12,9,19,1.11,9.5,21,1.11,9.2,24
serie-a,2018-2019,25/11/2018,Parma,Sassuolo,2,1,10,12,4,5,2,3,14,14,3,4,0,0,H,2,1,H,3.1,3.4,2.3,3.1,3.3,2.35,2.95,3.4,2.4
serie-a,2018-2019,26/11/2018,Cagliari,Torino,0,0,3,8,1,5,3,4,12,13,2,0,0,0,D,0,0,D,2.9,3.2,2.54,2.9,3.2,2.55,2.95,3.2,2.5
serie-a,2018-2019,01/12/2018,Fiorentina,Juventus,0,3,12,9,7,6,4,9,14,8,6,3,0,0,A,0,1,A,6,3.75,1.61,5.75,3.9,1.62,5.5,3.8,1.65
serie-a,2018-2019,01/12/2018,Sampdoria,Bologna,4,1,8,8,6,4,1,4,14,10,3,3,0,0,H,3,1,H,2,3.3,4,1.95,3.3,4.2,1.93,3.35,4.2
serie-a,2018-2019,01/12/2018,Spal,Empoli,2,2,9,13,5,8,4,9,14,14,3,3,1,0,D,1,2,A,2.4,3.3,3,2.45,3.25,3,2.4,3.3,3
serie-a,2018-2019,02/12/2018,Chievo,Lazio,1,1,5,19,2,7,4,6,11,11,4,2,0,0,D,1,0,H,8,4.2,1.44,7,4.1,1.5,6.5,4.3,1.5
serie-a,2018-2019,02/12/2018,Frosinone,Cagliari,1,1,25,18,11,7,5,1,13,15,1,7,0,1,D,1,0,H,3,3.3,2.4,3.1,3.3,2.35,3.1,3.25,2.35
serie-a,2018-2019,02/12/2018,Milan,Parma,2,1,19,7,6,1,8,8,9,15,2,2,0,0,H,0,0,D,1.4,5,7.5,1.4,4.75,8.25,1.5,4.3,6.5
serie-a,2018-2019,02/12/2018,Roma,Inter,2,2,15,16,6,7,4,7,11,13,1,1,0,0,D,0,1,A,2.8,3.4,2.45,2.8,3.5,2.45,2.75,3.45,2.5
