league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2017-2018,22/10/2017,Tottenham,Liverpool,4,1,14,12,6,7,3,5,2,8,0,1,0,0,H,3,1,H,A Marriner,2.25,3.5,3.39,2.15,3.4,3.4,2.2,3.35,3.3
epl,2017-2018,28/10/2017,Arsenal,Swansea,2,1,17,4,5,2,5,2,9,9,0,0,0,0,H,0,1,A,L Mason,1.25,7,12,1.25,6.5,10.5,1.25,6,11
epl,2017-2018,28/10/2017,Bournemouth,Chelsea,0,1,7,18,1,5,5,5,5,5,2,0,0,0,A,0,0,D,C Pawson,6,4.2,1.61,5.25,4.2,1.62,5.7,3.9,1.6
epl,2017-2018,28/10/2017,Crystal Palace,West Ham,2,2,19,6,9,2,11,2,18,15,1,2,0,0,D,0,2,A,R Madley,2.39,3.29,3.29,2.35,3.3,3.1,2.4,3.3,2.95
epl,2017-2018,28/10/2017,Liverpool,Huddersfield,3,0,16,1,8,0,9,2,10,8,0,1,0,0,H,0,0,D,K Friend,1.25,6.75,13,1.22,6.5,12.5,1.25,6,11
epl,2017-2018,28/10/2017,Man United,Tottenham,1,0,11,13,3,4,6,3,12,14,1,0,0,0,H,0,0,D,J Moss,2.14,3.39,3.79,2.05,3.4,3.8,2.2,3.35,3.3
epl,2017-2018,28/10/2017,Watford,Stoke,0,1,13,6,0,2,8,1,10,9,4,4,0,0,A,0,1,A,M Oliver,2.04,3.6,3.79,2.05,3.4,3.75,2.1,3.4,3.5
epl,2017-2018,28/10/2017,West Brom,Man City,2,3,6,15,4,5,1,2,10,7,2,3,0,0,A,1,2,A,M Jones,11,6.5,1.28,11.5,6.25,1.25,11,6,1.25
epl,2017-2018,29/10/2017,Brighton,Southampton,1,1,7,6,2,1,2,7,9,10,3,1,0,0,D,0,1,A,N Swarbrick,3.29,3.2,2.45,3.1,3.1,2.45,2.85,3.3,2.5
epl,2017-2018,29/10/2017,Leicester,Everton,2,0,9,16,3,2,3,10,6,10,0,2,0,0,H,2,0,H,A Marriner,2.14,3.39,3.75,2.15,3.3,3.6,2.2,3.35,3.3
epl,2017-2018,30/10/2017,Burnley,Newcastle,1,0,12,12,5,5,5,3,9,10,3,0,0,0,H,0,0,D,M Dean,2.89,3.2,2.7,2.85,3.2,2.6,2.65,3.3,2.65
epl,2017-2018,04/11/2017,Huddersfield,West Brom,1,0,7,9,3,3,3,5,8,15,1,4,1,0,H,1,0,H,R East,2.79,3,3,2.65,3,2.95,2.5,3.1,3
epl,2017-2018,04/11/2017,Newcastle,Bournemouth,0,1,16,16,4,6,11,9,11,12,2,2,0,0,A,0,0,D,P Tierney,2,3.5,4.2,1.95,3.5,4,1.9,3.5,4.1
epl,2017-2018,04/11/2017,Southampton,Burnley,0,1,13,5,3,1,9,1,4,4,0,0,0,0,A,0,0,D,L Probert,1.66,3.75,6.5,1.62,3.6,6.5,1.75,3.6,4.8
epl,2017-2018,04/11/2017,Stoke,Leicester,2,2,11,14,7,4,4,10,12,8,0,0,0,0,D,1,1,D,R Madley,2.7,3.29,2.87,2.55,3.3,2.8,2.4,3.3,2.95
epl,2017-2018,04/11/2017,Swansea,Brighton,0,1,12,5,2,2,8,7,13,12,2,1,0,0,A,0,1,A,M Dean,2.39,3.2,3.39,2.35,3.1,3.3,2.2,3.35,3.3
epl,2017-2018,04/11/2017,West Ham,Liverpool,1,4,6,15,1,7,2,3,9,13,3,0,0,0,A,0,2,A,N Swarbrick,5.25,4.33,1.66,5,4.1,1.65,4.8,3.6,1.75
epl,2017-2018,05/11/2017,Chelsea,Man United,1,0,18,10,8,2,4,7,16,20,1,3,0,0,H,0,0,D,A Taylor,2.5,3.2,3.2,2.45,3.2,3,2.5,3.1,3
epl,2017-2018,05/11/2017,Everton,Watford,3,2,10,11,5,3,2,5,14,12,0,2,0,0,H,0,0,D,G Scott,2.2,3.39,3.6,2.1,3.4,3.6,2.1,3.4,3.5
epl,2017-2018,05/11/2017,Man City,Arsenal,3,1,9,6,5,3,5,5,15,15,1,6,0,0,H,1,0,H,M Oliver,1.39,5.5,7.5,1.4,5,7.5,1.55,4.5,5.3
epl,2017-2018,05/11/2017,Tottenham,Crystal Palace,1,0,12,11,2,3,10,9,6,7,0,2,0,0,H,0,0,D,K Friend,1.28,6,12,1.26,6,11,1.27,6,10
epl,2017-2018,18/11/2017,Arsenal,Tottenham,2,0,14,14,5,4,7,4,11,16,4,1,0,0,H,2,0,H,M Dean,2.5,3.6,2.89,2.45,3.4,2.85,2.5,3.5,2.7
epl,2017-2018,18/11/2017,Bournemouth,Huddersfield,4,0,11,20,5,3,8,11,13,10,3,2,1,0,H,2,0,H,L Probert,1.83,3.5,5.25,1.83,3.4,4.75,2,3.4,3.8
epl,2017-2018,18/11/2017,Burnley,Swansea,2,0,16,13,7,1,8,6,12,12,1,1,0,0,H,2,0,H,M Atkinson,2.14,3.2,4,2.1,3.2,3.9,1.9,3.3,4.4
epl,2017-2018,18/11/2017,Crystal Palace,Everton,2,2,16,8,7,5,9,4,9,26,2,3,0,0,D,2,2,D,A Taylor,2.39,3.25,3.29,2.4,3.25,3.1,2.6,3.25,2.75
