league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2024-2025,19/10/2024,Tottenham,West Ham,4,1,22,11,7,4,13,5,10,15,1,3,0,1,H,1,1,D,A Madley,1.5,5,5.25,1.5,4.8,5.75,1.36,3.2,2.04,1.86,1.45,5.25,5.75,1.46,5,6.25,1.33,3.4,1.93,2
epl,2024-2025,19/10/2024,Fulham,Aston Villa,1,3,10,14,4,5,6,11,8,11,3,3,1,1,A,1,1,D,D England,2.45,3.5,2.8,2.4,3.5,2.85,1.73,2.1,2.08,1.7,2.45,3.4,2.8,2.45,3.5,2.8,1.8,2,2.08,1.73
epl,2024-2025,19/10/2024,Ipswich,Everton,0,2,13,11,2,8,5,8,12,10,1,1,0,0,A,0,2,A,M Oliver,2.38,3.3,3,2.4,3.4,2.9,1.86,2.04,2.08,1.82,2.38,3.4,2.9,2.35,3.4,3.1,1.88,2.02,2.1,1.83
epl,2024-2025,19/10/2024,Man United,Brentford,2,1,23,8,11,2,9,2,14,5,2,2,0,0,H,0,1,A,S Barrott,1.7,4.2,4.5,1.7,4.2,4.5,1.5,2.63,1.83,1.95,1.62,4.2,5,1.7,4.2,4.5,1.5,2.63,1.75,2.05
epl,2024-2025,19/10/2024,Newcastle,Brighton,0,1,21,10,6,5,9,4,11,9,2,2,0,0,A,0,1,A,P Bankes,1.95,3.7,3.6,2,3.75,3.5,1.49,2.45,2.01,1.89,1.73,4,4.5,1.71,4.1,4.5,1.53,2.5,1.95,1.98
epl,2024-2025,19/10/2024,Southampton,Leicester,2,3,14,18,7,4,10,6,10,10,5,3,1,0,A,2,0,H,A Taylor,2.3,3.5,3,2.35,3.5,2.9,1.73,2.1,1.97,1.81,2.15,3.6,3.25,2.15,3.5,3.3,1.73,2.1,1.89,2.01
epl,2024-2025,19/10/2024,Bournemouth,Arsenal,2,0,13,6,4,1,7,4,12,11,1,1,0,1,H,0,0,D,R Jones,5,3.9,1.65,4.8,4.1,1.66,1.73,2.1,2.04,1.86,4.75,3.7,1.75,4.75,3.7,1.75,1.99,1.91,1.92,2.01
epl,2024-2025,20/10/2024,Wolves,Man City,1,2,3,22,2,7,1,18,8,5,4,1,0,0,A,1,1,D,C Kavanagh,8,6,1.33,9,5.75,1.32,1.44,2.75,2.02,1.88,8.5,5.5,1.33,7.5,5.5,1.38,1.5,2.63,1.85,2.08
epl,2024-2025,20/10/2024,Liverpool,Chelsea,2,1,9,12,5,2,1,6,12,13,4,3,0,0,H,1,0,H,J Brooks,1.62,4.1,5,1.66,4.2,4.75,1.4,3,2.03,1.87,1.67,4.33,4.2,1.68,4.33,4.5,1.4,3,1.9,2.03
epl,2024-2025,21/10/2024,Nott'm Forest,Crystal Palace,1,0,20,20,6,7,6,6,9,12,2,3,0,0,H,0,0,D,T Robinson,2.3,3.5,3,2.37,3.25,3.1,2.1,1.73,2.06,1.84,2.3,3.3,3.1,2.35,3.2,3.25,2.3,1.62,2.05,1.88
epl,2024-2025,25/10/2024,Leicester,Nott'm Forest,1,3,11,20,1,5,6,7,16,9,5,2,0,0,A,1,1,D,C Pawson,3,3.3,2.4,3,3.25,2.4,2,1.8,1.83,2.07,2.88,3.4,2.45,2.9,3.3,2.45,2.01,1.89,1.73,2.08
epl,2024-2025,26/10/2024,Aston Villa,Bournemouth,1,1,18,11,8,3,9,7,12,14,7,6,0,0,D,0,0,D,A Madley,1.85,3.9,3.8,1.87,3.9,3.9,1.57,2.38,1.86,2.04,1.75,3.9,4.33,1.77,3.9,4.33,1.62,2.3,2.04,1.89
epl,2024-2025,26/10/2024,Brentford,Ipswich,4,3,20,11,9,5,5,5,7,10,0,1,0,1,H,2,2,D,L Smith,1.65,4.33,4.75,1.68,4.2,4.75,1.67,2.2,1.82,2.08,1.67,4.2,4.75,1.65,4.1,5,1.67,2.2,1.85,2.08
epl,2024-2025,26/10/2024,Brighton,Wolves,2,2,19,14,6,7,9,6,12,10,3,3,0,0,D,1,0,H,M Oliver,1.62,4.5,4.5,1.62,4.33,5,1.57,2.38,2.03,1.75,1.55,4.33,5.5,1.55,4.33,5.75,1.62,2.3,1.98,1.95
epl,2024-2025,26/10/2024,Man City,Southampton,1,0,22,5,8,2,12,1,9,9,1,3,0,0,H,1,0,H,T Harrington,1.11,10,17,1.12,11,19,1.29,3.75,1.92,1.98,1.13,9.5,15,1.13,10.5,18.5,1.25,4,1.94,1.99
epl,2024-2025,26/10/2024,Everton,Fulham,1,1,10,14,5,3,4,2,8,8,1,0,0,0,D,0,0,D,J Brooks,2.75,3.25,2.63,2.75,3.3,2.55,1.91,1.99,1.95,1.83,2.6,3.4,2.63,2.65,3.3,2.65,1.8,2,1.95,1.98
epl,2024-2025,27/10/2024,Chelsea,Newcastle,2,1,17,11,7,3,7,4,13,16,6,3,0,0,H,1,1,D,S Hooper,1.73,4.33,4.2,1.82,4,4,1.44,2.75,1.95,1.95,1.75,4.2,4,1.78,4.1,4.1,1.5,2.63,2.01,1.89
epl,2024-2025,27/10/2024,Crystal Palace,Tottenham,1,0,14,11,6,3,8,8,16,12,4,4,0,0,H,1,0,H,D Bond,3.9,4,1.83,4,3.9,1.83,1.57,2.38,2.04,1.86,3.6,4,1.91,3.7,3.9,1.93,1.5,2.63,1.95,1.95
epl,2024-2025,27/10/2024,West Ham,Man United,2,1,12,18,3,5,6,5,6,7,5,1,0,0,H,0,0,D,D Coote,2.88,3.75,2.3,2.87,3.75,2.3,1.53,2.5,1.86,2.04,3.3,3.75,2.1,3.2,3.6,2.15,1.62,2.3,2.06,1.84
