league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2025-2026,29/10/2025,Como,Verona,3,1,15,13,5,9,1,3,11,21,1,4,0,0,H,1,1,D,1.6,3.6,6.5,1.62,3.75,5.75,2.1,1.73,1.75,2.05,1.57,3.75,6.5,1.58,3.8,6.25,2.03,1.83,2.03,1.83
serie-a,2025-2026,29/10/2025,Juventus,Udinese,3,1,25,8,11,2,8,4,12,13,1,4,0,0,H,1,1,D,1.44,4.1,8.5,1.46,4.33,7.25,1.98,1.88,2.05,1.8,1.45,4.5,7,1.47,4.4,6.75,1.8,2,2.03,1.83
serie-a,2025-2026,29/10/2025,Roma,Parma,2,1,18,8,6,5,9,2,8,9,0,3,0,0,H,0,0,D,1.53,3.75,7.5,1.51,4.1,6.5,2.1,1.73,1.93,1.93,1.48,3.8,8.5,1.47,4.1,7.5,2.1,1.73,1.83,2.03
serie-a,2025-2026,29/10/2025,Bologna,Torino,0,0,11,8,2,2,3,3,11,20,2,3,0,0,D,0,0,D,1.75,3.5,5,1.78,3.5,4.75,2.2,1.67,2.03,1.83,1.75,3.5,4.75,1.77,3.4,5,2.2,1.67,1.75,2.05
serie-a,2025-2026,29/10/2025,Genoa,Cremonese,0,2,16,12,1,4,7,3,16,13,3,1,0,0,A,0,1,A,1.85,3.25,4.75,1.85,3.4,4.5,2.5,1.53,1.85,2,1.73,3.5,5.25,1.78,3.3,5,2.3,1.62,1.95,1.9
serie-a,2025-2026,29/10/2025,Inter,Fiorentina,3,0,22,10,8,2,8,5,11,16,1,2,0,1,H,0,0,D,1.38,4.5,8.5,1.39,4.8,7.75,1.73,2.1,1.88,1.98,1.36,5,8.5,1.36,5.25,8,1.53,2.5,2,1.85
serie-a,2025-2026,30/10/2025,Cagliari,Sassuolo,1,2,8,12,1,4,6,7,20,21,4,4,0,0,A,0,0,D,2.6,3.1,2.88,2.55,3.2,2.85,2.2,1.67,1.83,2.03,2.63,3.1,2.8,2.6,3.1,2.9,2.2,1.67,1.88,1.98
serie-a,2025-2026,30/10/2025,Pisa,Lazio,0,0,10,11,2,6,3,1,16,12,2,2,0,0,D,0,0,D,3.7,3.25,2.1,3.5,3.25,2.15,2.2,1.67,2.03,1.83,3.9,3.1,2.1,3.7,3.1,2.15,2.38,1.57,2.05,1.8
serie-a,2025-2026,01/11/2025,Udinese,Atalanta,1,0,11,5,5,0,5,4,14,11,1,3,0,0,H,1,0,H,4.5,3.6,1.8,4.33,3.7,1.82,1.85,2,1.78,2.03,5,3.8,1.67,4.75,3.75,1.72,1.85,2,1.98,1.88
serie-a,2025-2026,01/11/2025,Napoli,Como,0,0,13,13,8,2,4,2,15,16,3,2,0,0,D,0,0,D,1.95,3.1,4.5,1.93,3.3,4.2,2.2,1.67,1.98,1.88,1.91,3.2,4.5,1.93,3.25,4.33,2.1,1.73,1.95,1.9
