league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2025-2026,19/10/2025,St Pauli,Hoffenheim,0,3,10,14,2,5,9,7,10,17,1,3,0,0,A,0,0,D,2.5,3.4,2.8,2.45,3.4,2.8,1.8,2,1.83,2.03,2.63,3.5,2.55,2.65,3.4,2.6,1.73,2.1,1.98,1.88
bundesliga,2025-2026,24/10/2025,Werder Bremen,Union Berlin,1,0,16,12,3,2,5,6,6,13,4,0,0,0,H,0,0,D,2.25,3.6,2.9,2.25,3.5,3,1.67,2.2,2.03,1.83,2.3,3.4,3,2.3,3.5,2.95,1.73,2.1,2.03,1.83
bundesliga,2025-2026,25/10/2025,Augsburg,RB Leipzig,0,6,15,15,2,8,2,3,9,10,3,1,0,0,A,0,4,A,3.2,3.9,2.05,3.3,4,1.98,1.44,2.75,1.75,2.05,3.2,3.8,2.05,3.25,3.8,2.05,1.53,2.5,2.03,1.83
bundesliga,2025-2026,25/10/2025,Ein Frankfurt,St Pauli,2,0,10,9,6,1,1,3,11,6,0,1,0,0,H,1,0,H,1.67,4.2,4.5,1.71,4.1,4.4,1.57,2.38,1.9,1.95,1.62,4.5,4.5,1.66,4.2,4.6,1.44,2.75,1.78,2.03
bundesliga,2025-2026,25/10/2025,Hamburg,Wolfsburg,0,1,27,6,6,2,11,1,8,18,1,5,0,0,A,0,1,A,2.35,3.5,2.9,2.35,3.7,2.8,1.67,2.2,2.05,1.8,2.2,3.6,3.1,2.2,3.7,3,1.53,2.5,1.93,1.93
bundesliga,2025-2026,25/10/2025,Hoffenheim,Heidenheim,3,1,14,12,7,3,7,5,14,13,1,1,0,0,H,2,0,H,1.57,4.5,5.25,1.58,4.5,5,1.5,2.63,1.95,1.9,1.6,4.33,5.25,1.58,4.4,5,1.53,2.5,1.98,1.88
bundesliga,2025-2026,25/10/2025,M'gladbach,Bayern Munich,0,3,1,27,0,11,1,8,6,9,0,3,1,0,A,0,0,D,10,6.5,1.22,10,7,1.24,1.29,3.75,1.9,1.95,11,7,1.22,8.75,6.75,1.27,1.22,4.33,1.98,1.88
bundesliga,2025-2026,25/10/2025,Dortmund,FC Koln,1,0,27,5,9,0,17,2,10,8,2,2,0,0,H,0,0,D,1.44,5.25,6.5,1.43,5,6.5,1.4,3,1.88,1.98,1.36,5.25,7.5,1.38,5.25,7.5,1.44,2.75,2.03,1.83
bundesliga,2025-2026,26/10/2025,Leverkusen,Freiburg,2,0,19,10,4,3,2,3,9,8,1,2,0,1,H,1,0,H,1.83,3.9,4,1.77,3.9,4.33,1.73,2.1,1.83,2.03,2,3.7,3.5,2,3.6,3.6,1.8,2,2.03,1.83
bundesliga,2025-2026,26/10/2025,Stuttgart,Mainz,2,1,19,13,8,2,7,5,11,12,4,3,0,0,H,1,1,D,1.75,4,4.33,1.75,4,4.2,1.57,2.38,1.98,1.88,2.1,3.4,3.4,2.1,3.6,3.3,1.73,2.1,1.85,2
bundesliga,2025-2026,31/10/2025,Augsburg,Dortmund,0,1,9,5,1,1,4,3,14,16,4,1,0,0,A,0,1,A,5,4.5,1.57,5,4.33,1.6,1.5,2.63,1.93,1.93,5.25,4.33,1.55,5.25,4.4,1.57,1.57,2.38,1.93,1.93
bundesliga,2025-2026,01/11/2025,Heidenheim,Ein Frankfurt,1,1,9,16,4,3,2,8,7,11,0,2,0,0,D,1,0,H,3.6,4,1.9,3.4,3.9,1.95,1.5,2.63,1.98,1.88,4.1,4.1,1.8,3.9,4,1.8,1.53,2.5,1.85,2
bundesliga,2025-2026,01/11/2025,Mainz,Werder Bremen,1,1,10,5,5,3,2,0,19,11,1,3,0,0,D,1,0,H,1.95,3.9,3.5,2,3.8,3.4,1.57,2.38,2,1.85,1.85,3.7,3.9,1.93,3.75,3.7,1.53,2.5,1.88,1.98
bundesliga,2025-2026,01/11/2025,RB Leipzig,Stuttgart,3,1,16,14,9,4,5,5,8,10,1,2,0,0,H,1,0,H,1.95,3.9,3.5,1.98,3.9,3.4,1.44,2.75,1.98,1.88,2.1,3.8,3.25,2.1,3.7,3.2,1.44,2.75,1.85,2
bundesliga,2025-2026,01/11/2025,St Pauli,M'gladbach,0,4,16,15,4,11,8,1,11,8,4,0,0,0,A,0,2,A,2.15,3.5,3.3,2.1,3.5,3.4,1.88,1.98,1.88,1.98,2.3,3.4,3.1,2.3,3.4,3,1.83,2.03,2,1.85
bundesliga,2025-2026,01/11/2025,Union Berlin,Freiburg,0,0,11,13,2,4,5,5,20,13,6,1,0,0,D,0,0,D,2.5,3.3,2.75,2.55,3.25,2.75,2.1,1.73,1.83,2.03,2.6,3.2,2.8,2.6,3.2,2.8,2.2,1.67,1.85,2
bundesliga,2025-2026,01/11/2025,Bayern Munich,Leverkusen,3,0,18,7,4,1,10,4,11,3,1,1,0,0,H,3,0,H,1.22,7,9.5,1.22,7.25,11,1.25,4,1.95,1.9,1.25,6.5,10,1.29,6.25,8.75,1.36,3.2,1.93,1.93
bundesliga,2025-2026,02/11/2025,FC Koln,Hamburg,4,1,23,11,10,5,2,3,8,18,1,6,0,2,H,1,0,H,2.1,3.7,3.2,2.05,3.7,3.3,1.62,2.3,1.88,1.98,2.45,3.7,2.7,2.45,3.6,2.75,1.57,2.38,1.83,2.03
bundesliga,2025-2026,02/11/2025,Wolfsburg,Hoffenheim,2,3,12,10,6,4,2,2,10,17,0,2,0,0,A,1,1,D,2.75,3.9,2.3,2.8,3.7,2.3,1.57,2.38,1.8,2.05,2.8,3.8,2.3,2.7,3.7,2.37,1.5,2.63,2.08,1.73
bundesliga,2025-2026,07/11/2025,Werder Bremen,Wolfsburg,2,1,20,7,7,4,13,3,13,8,2,0,0,0,H,0,1,A,2.15,3.6,3.1,2.2,3.6,3.1,1.53,2.5,1.93,1.93,2.15,3.6,3.1,2.15,3.6,3.2,1.57,2.38,1.88,1.98
bundesliga,2025-2026,08/11/2025,Hamburg,Dortmund,1,1,9,17,3,1,2,6,14,8,1,1,0,0,D,0,0,D,4.33,4.2,1.7,4.33,4.33,1.68,1.5,2.63,1.98,1.88,3.8,3.8,1.85,3.75,3.8,1.88,1.57,2.38,1.98,1.88
bundesliga,2025-2026,08/11/2025,Hoffenheim,RB Leipzig,3,1,12,17,4,5,5,5,13,5,3,2,0,0,H,2,1,H,2.6,3.9,2.4,2.6,3.9,2.37,1.4,3,2,1.85,2.7,3.8,2.35,2.7,3.75,2.37,1.44,2.75,1.83,2.03
bundesliga,2025-2026,08/11/2025,Leverkusen,Heidenheim,6,0,25,1,10,0,11,1,5,7,0,1,0,0,H,5,0,H,1.4,5,6.5,1.4,5,7,1.53,2.5,1.85,2,1.44,4.75,7,1.4,5,7,1.53,2.5,1.95,1.9
bundesliga,2025-2026,08/11/2025,Union Berlin,Bayern Munich,2,2,12,12,4,4,6,5,8,8,2,4,0,0,D,1,1,D,13,7,1.2,12,6.75,1.22,1.36,3.2,1.88,1.98,11,6.5,1.22,11.5,7,1.22,1.36,3.2,1.85,2
bundesliga,2025-2026,08/11/2025,M'gladbach,FC Koln,3,1,9,19,4,5,2,6,11,13,2,3,0,0,H,1,0,H,2.2,3.6,3.1,2.2,3.5,3.1,1.62,2.3,1.93,1.93,2.05,3.75,3.4,2.1,3.6,3.25,1.57,2.38,2.03,1.83
bundesliga,2025-2026,09/11/2025,Freiburg,St Pauli,2,1,8,7,4,2,9,3,8,12,2,2,0,0,H,1,0,H,1.83,3.5,4.5,1.83,3.5,4.33,2,1.8,1.83,2.03,1.75,3.6,4.75,1.78,3.6,4.6,2,1.85,2,1.85
bundesliga,2025-2026,09/11/2025,Stuttgart,Augsburg,3,2,17,17,6,6,4,4,13,10,2,3,0,0,H,2,2,D,1.55,4.33,5.75,1.53,4.5,5.5,1.57,2.38,1.85,2,1.55,4.33,5.5,1.55,4.5,5.25,1.5,2.63,1.88,1.98
