league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,18/10/2025,Nice,Lyon,3,2,5,29,4,7,1,16,10,11,1,2,0,0,H,2,1,H,2.45,3.4,2.8,2.4,3.5,2.8,1.8,2,1.83,2.03,2.2,3.5,3.1,2.25,3.5,3.1,1.73,2.1,1.98,1.88
ligue-1,2025-2026,18/10/2025,Angers,Monaco,1,1,16,11,3,4,10,3,15,14,2,2,0,0,D,0,0,D,5.5,4,1.62,5,4.1,1.62,1.67,2.2,1.83,2.03,5.5,4,1.62,5,4,1.65,1.8,2,2.05,1.75
ligue-1,2025-2026,18/10/2025,Marseille,Le Havre,6,2,18,8,11,3,2,1,17,13,2,1,0,1,H,1,1,D,1.33,5,9,1.33,5.5,8.5,1.62,2.3,1.98,1.88,1.3,5.25,9.5,1.32,5.5,9,1.57,2.38,1.85,2
ligue-1,2025-2026,19/10/2025,Lens,Paris FC,2,1,11,9,3,3,11,3,11,8,2,2,0,0,H,1,1,D,1.85,3.75,4,1.88,3.6,4,1.67,2.2,1.85,2,1.8,3.9,4.1,1.8,3.8,4.1,1.62,2.3,1.78,2.03
ligue-1,2025-2026,19/10/2025,Lorient,Brest,3,3,12,8,7,4,5,2,13,16,3,2,0,0,D,1,2,A,2.38,3.25,3,2.45,3.4,2.8,1.98,1.88,2.05,1.8,2.8,3.2,2.6,2.65,3.25,2.65,2,1.85,2,1.85
ligue-1,2025-2026,19/10/2025,Rennes,Auxerre,2,2,19,7,7,4,6,2,11,15,1,3,0,0,D,1,1,D,1.75,3.7,4.75,1.78,3.75,4.4,1.83,2.03,2,1.85,1.85,3.6,4.2,1.85,3.6,4.1,1.8,2,1.85,2
ligue-1,2025-2026,19/10/2025,Toulouse,Metz,4,0,16,2,7,2,5,1,14,11,2,1,0,1,H,2,0,H,1.6,3.8,6,1.58,4.1,5.5,1.88,1.98,2.03,1.83,1.53,4.2,6,1.53,4.2,6,1.67,2.2,1.88,1.98
ligue-1,2025-2026,19/10/2025,Nantes,Lille,0,2,8,23,3,5,5,9,12,15,1,4,0,0,A,0,1,A,4.5,3.6,1.8,4.2,3.6,1.83,1.9,1.95,1.83,2.03,5.5,3.9,1.6,5.5,3.8,1.63,1.85,2,2.05,1.75
ligue-1,2025-2026,24/10/2025,Paris FC,Nantes,1,2,14,11,3,3,8,2,10,13,3,2,0,0,A,1,2,A,1.65,4.1,5,1.65,4,5,1.73,2.1,1.8,2.05,1.55,4.1,6,1.58,4.1,5.5,1.8,2,1.95,1.9
ligue-1,2025-2026,25/10/2025,Brest,Paris SG,0,3,8,18,2,8,2,7,10,10,1,1,0,0,A,0,2,A,7.5,5.5,1.33,8.25,5.5,1.33,1.44,2.75,1.93,1.93,7.5,5.5,1.33,7.75,5.5,1.35,1.44,2.75,1.93,1.93
