kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-05-23T19:00:00Z,la-liga,Valencia CF,FC Barcelona,Valencia CF,home,10.5,over,0.463,2.16,1.8,Bet365,-0.1666,2026-05-21T19:16:40Z,9.19,8.85,0.0367,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Getafe CF,CA Osasuna,CA Osasuna,away,10.5,over,0.4354,2.297,1.909,Bet365,-0.1688,2026-05-21T19:16:40Z,8.71,7.27,0.1661,divergent,0.0,False
2026-05-24T15:00:00Z,epl,Crystal Palace,Arsenal FC,Arsenal FC,away,13.5,over,0.461,2.169,1.8,Bet365,-0.1702,2026-05-21T19:16:38Z,13.17,11.07,0.1591,divergent,0.0,False
2026-05-24T18:45:00Z,serie-a,Torino FC,Juventus Turin,Torino FC,home,11.5,over,0.414,2.415,2.0,Bet365,-0.172,2026-05-21T19:16:39Z,9.83,10.67,0.0857,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Everton FC,away,10.5,under,0.4578,2.184,1.8,Bet365,-0.176,2026-05-21T11:42:01Z,10.7,11.83,0.1059,aligned,0.0,False
2026-05-24T13:00:00Z,serie-a,Parma Calcio,Sassuolo Calcio,Parma Calcio,home,13.5,under,0.4554,2.196,1.8,Bet365,-0.1803,2026-05-21T19:16:39Z,14.91,15.85,0.0633,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Crystal Palace,Arsenal FC,Crystal Palace,home,11.5,over,0.4061,2.462,2.0,Bet365,-0.1878,2026-05-21T19:16:38Z,9.69,10.56,0.0895,aligned,0.0,False
2026-05-22T18:45:00Z,serie-a,ACF Fiorentina,Atalanta BC,ACF Fiorentina,home,13.5,under,0.4523,2.211,1.727,Bet365,-0.2189,2026-05-21T19:16:39Z,14.98,14.6,0.0251,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Aston Villa,away,9.5,under,0.451,2.217,1.727,Bet365,-0.2211,2026-05-21T19:16:38Z,9.35,9.12,0.0241,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Tottenham Hotspur,home,14.5,over,0.4246,2.355,1.8,Bet365,-0.2357,2026-05-21T19:16:38Z,14.28,15.03,0.0528,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari Calcio,Cagliari Calcio,away,9.5,under,0.4367,2.29,1.727,Bet365,-0.2458,2026-05-21T19:16:39Z,9.6,8.97,0.0658,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari Calcio,AC Milan,home,15.5,over,0.3928,2.546,1.909,Bet365,-0.2501,2026-05-21T19:16:39Z,15.37,15.56,0.0123,aligned,0.0,False
2026-05-24T19:00:00Z,la-liga,Villarreal CF,Atletico Madrid,Villarreal CF,home,12.5,under,0.3855,2.594,1.909,Bet365,-0.2641,2026-05-21T19:16:40Z,14.91,15.63,0.0487,aligned,0.0,False
2026-05-24T16:00:00Z,serie-a,SSC Napoli,Udinese Calcio,SSC Napoli,home,15.5,over,0.3856,2.593,1.8,Bet365,-0.3059,2026-05-21T19:16:39Z,15.21,16.49,0.0843,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Espanyol Barcelona,Real Sociedad San Sebastian,Espanyol Barcelona,home,13.5,under,0.3612,2.769,1.909,Bet365,-0.3105,2026-05-21T19:16:40Z,17.02,18.63,0.0946,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Nottingham Forest,AFC Bournemouth,Nottingham Forest,home,12.5,under,0.3921,2.55,1.727,Bet365,-0.3228,2026-05-21T19:16:38Z,14.76,17.49,0.1846,divergent,0.0,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,Sevilla FC,away,9.5,under,0.3545,2.821,1.909,Bet365,-0.3233,2026-05-21T19:16:40Z,11.2,11.0,0.0176,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Fulham FC,home,12.5,under,0.3618,2.764,1.833,Bet365,-0.3368,2026-05-21T19:16:38Z,15.43,17.2,0.1147,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Manchester City,home,17.5,over,0.3511,2.848,1.833,Bet365,-0.3564,2026-05-21T19:16:38Z,17.73,18.2,0.0266,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,US Lecce,Genoa CFC,Genoa CFC,away,9.5,under,0.3172,3.153,2.0,Bet365,-0.3656,2026-05-21T19:16:39Z,12.0,10.14,0.1553,divergent,0.0,False
