date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-12,serie-a,Genoa CFC,Sassuolo Calcio,Genoa CFC,home,Bet365,13.5,over,1.727,0.5936,0.5308,1.685,0.0251,0.0251,14,True,0.727,,,,,,,,,,,,
2026-04-12,epl,Sunderland AFC,Tottenham Hotspur,Tottenham Hotspur,away,Bet365,11.5,over,1.727,0.6536,0.5763,1.53,0.1287,0.1287,11,False,-1.0,,,,,,,,,,,,
2026-04-12,epl,Crystal Palace,Newcastle United,Newcastle United,away,Bet365,13.5,under,1.909,0.5704,0.6244,1.753,0.089,0.089,7,True,0.909,,,,,,,,,,,,
2026-04-12,epl,Crystal Palace,Newcastle United,Crystal Palace,home,Bet365,12.5,over,2.0,0.548,0.469,1.825,0.0959,0.0959,11,False,-1.0,,,,,,,,,,,,
2026-04-12,epl,Nottingham Forest,Aston Villa,Aston Villa,away,Bet365,11.5,over,1.8,0.61,0.53,1.639,0.0981,0.0981,12,True,0.8,,,,,,,,,,,,
2026-04-12,epl,Nottingham Forest,Aston Villa,Nottingham Forest,home,Bet365,14.5,under,1.833,0.5663,0.5821,1.766,0.038,0.038,15,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Parma Calcio,SSC Napoli,SSC Napoli,away,Bet365,13.5,under,2.0,0.556,0.6112,1.798,0.1121,0.1121,20,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Parma Calcio,SSC Napoli,Parma Calcio,home,Bet365,9.5,over,1.909,0.5513,0.4284,1.814,0.0525,0.0525,3,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Bologna FC,US Lecce,Bologna FC,home,Bet365,14.5,over,1.909,0.5295,0.5136,1.889,0.0107,0.0107,12,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Bologna FC,US Lecce,US Lecce,away,Bet365,9.5,under,1.833,0.5945,0.7071,1.682,0.0897,0.0897,6,True,0.833,,,,,,,,,,,,
2026-04-12,serie-a,Como 1907,Inter Milano,Inter Milano,away,Bet365,12.5,under,1.909,0.595,0.6619,1.681,0.1359,0.1359,7,True,0.909,,,,,,,,,,,,
2026-04-12,la-liga,CA Osasuna,Real Betis Seville,Real Betis Seville,away,Bet365,12.5,over,1.833,0.5729,0.493,1.745,0.0502,0.0502,8,False,-1.0,,,,,,,,,,,,
2026-04-12,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,10.5,under,1.8,0.5985,0.7039,1.671,0.0773,0.0773,12,False,-1.0,,,,,,,,,,,,
2026-04-12,la-liga,RCD Mallorca,Rayo Vallecano,Rayo Vallecano,away,Bet365,11.5,over,1.727,0.7369,0.6689,1.357,0.2726,0.2726,17,True,0.727,,,,,,,,,,,,
2026-04-12,la-liga,RCD Mallorca,Rayo Vallecano,RCD Mallorca,home,Bet365,12.5,under,1.727,0.6094,0.6745,1.641,0.0524,0.0524,12,True,0.727,,,,,,,,,,,,
2026-04-12,la-liga,RC Celta de Vigo,Real Oviedo,Real Oviedo,away,Bet365,9.5,over,1.909,0.5373,0.4145,1.861,0.0257,0.0257,8,False,-1.0,,,,,,,,,,,,
2026-04-12,la-liga,RC Celta de Vigo,Real Oviedo,RC Celta de Vigo,home,Bet365,14.5,under,1.833,0.6059,0.6213,1.65,0.1106,0.1106,9,True,0.833,,,,,,,,,,,,
2026-04-12,bundesliga,FSV Mainz,SC Freiburg,FSV Mainz,home,Bet365,14.5,under,1.909,0.607,0.6224,1.647,0.1588,0.1588,10,True,0.909,,,,,,,,,,,,
2026-04-12,bundesliga,FSV Mainz,SC Freiburg,SC Freiburg,away,Bet365,12.5,over,2.0,0.5646,0.4849,1.771,0.1291,0.1291,8,False,-1.0,,,,,,,,,,,,
2026-04-12,bundesliga,1. FC Cologne,Werder Bremen,Werder Bremen,away,Bet365,12.5,over,1.8,0.5678,0.488,1.761,0.022,0.022,6,False,-1.0,,,,,,,,,,,,
2026-04-12,bundesliga,1. FC Cologne,Werder Bremen,1. FC Cologne,home,Bet365,14.5,under,1.8,0.7406,0.7532,1.35,0.3331,0.3331,25,False,-1.0,,,,,,,,,,,,
2026-04-12,bundesliga,VfB Stuttgart,Hamburger SV,VfB Stuttgart,home,Bet365,17.5,under,1.8,0.6663,0.5903,1.501,0.1994,0.1994,23,False,-1.0,,,,,,,,,,,,
2026-04-12,la-liga,CA Osasuna,Real Betis Seville,Real Betis Seville,away,Bet365,11.5,over,1.727,0.627,0.5479,1.595,0.0828,0.0828,8,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Bologna FC,US Lecce,US Lecce,away,Bet365,8.5,over,2.0,0.5328,0.3621,1.877,0.0655,0.0655,6,False,-1.0,,,,,,,,,,,,
2026-04-12,serie-a,Como 1907,Inter Milano,Inter Milano,away,Bet365,11.5,under,2.0,0.5261,0.6064,1.901,0.0521,0.0521,7,True,1.0,,,,,,,,,,,,
2026-04-12,la-liga,RCD Mallorca,Rayo Vallecano,Rayo Vallecano,away,Bet365,12.5,over,1.833,0.6987,0.6204,1.431,0.2808,0.2808,17,True,0.833,,,,,,,,,,,,
2026-04-12,la-liga,RC Celta de Vigo,Real Oviedo,Real Oviedo,away,Bet365,8.5,over,1.727,0.6482,0.4864,1.543,0.1194,0.1194,8,False,-1.0,,,,,,,,,,,,
2026-04-12,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,8.5,over,1.909,0.5993,0.4312,1.669,0.144,0.144,12,True,0.909,,,,,,,,,,,,
2026-04-12,bundesliga,VfB Stuttgart,Hamburger SV,Hamburger SV,away,Bet365,9.5,over,1.833,0.5552,0.4322,1.801,0.0176,0.0176,9,False,-1.0,,,,,,,,,,,,
2026-04-12,bundesliga,VfB Stuttgart,Hamburger SV,VfB Stuttgart,home,Bet365,16.5,under,1.833,0.5899,0.549,1.695,0.0812,0.0812,23,False,-1.0,,,,,,,,,,,,
2026-04-12,bundesliga,FSV Mainz,SC Freiburg,SC Freiburg,away,Bet365,11.5,over,1.833,0.6196,0.5401,1.614,0.1358,0.1358,8,False,-1.0,,,,,,,,,,,,
2026-04-13,epl,Manchester United,Leeds United,Manchester United,home,Bet365,15.5,under,1.909,0.5362,0.514,1.865,0.0236,0.0236,20,False,-1.0,,,,,,,,,,,,
2026-04-13,serie-a,ACF Fiorentina,Lazio Rome,ACF Fiorentina,home,Bet365,13.5,over,1.909,0.5927,0.5299,1.687,0.1314,0.1314,8,False,-1.0,,,,,,,,,,,,
2026-04-24,epl,Sunderland AFC,Nottingham Forest,Nottingham Forest,away,Bet365,12.5,over,1.8,0.6218,0.6218,1.608,0.1192,0.1192,,,,2026-04-24T19:00:00Z,,10.9,14.67,11.13,12.25,12.5,12.8,aligned,aligned,0.1236,0.0448
2026-04-24,serie-a,SSC Napoli,US Cremonese,SSC Napoli,home,Bet365,16.5,under,1.909,0.5333,0.5333,1.875,0.0181,0.0181,,,,2026-04-24T18:45:00Z,,18.27,6.64,17.04,5.92,16.68,5.55,aligned,aligned,0.0213,0.063
2026-04-24,bundesliga,RB Leipzig,Union Berlin,RB Leipzig,home,Bet365,16.5,under,1.8,0.6051,0.6051,1.653,0.0892,0.0892,,,,2026-04-24T18:30:00Z,,16.58,9.15,17.9,9.87,17.74,8.05,aligned,divergent,0.0093,0.1842
